ActividadId;RutaImagen;Instruccion
1;Imagenes/nivel1/n1a1/instruccion1;Tus Materiales: Botella de plástico, maíz (o granos), tubo de cartón, cinta, pegante, tijeras y listón decorativo.
1;Imagenes/nivel1/n1a1/instruccion2;Recorta la botella para quedarte solo con la parte de arriba y la base (descarta el centro).
1;Imagenes/nivel1/n1a1/instruccion3;Echa los granos en la base, encaja la parte de arriba y asegura la unión con mucha cinta.
1;Imagenes/nivel1/n1a1/instruccion4;Corta el tubo de cartón a lo largo, enróllalo para que sea más delgado y ponle cinta.
1;Imagenes/nivel1/n1a1/instruccion5;Mete el tubo en la parte inferior de la botella y asegúralo bien con cinta.
1;Imagenes/nivel1/n1a1/instruccion6;¡Dale estilo! Enrolla el listón y pega tus decoraciones favoritas.
2;Imagenes/nivel1/n1a2/instruccion1;Tus Materiales: un octavo de cartulina, tres hojas iris, tijeras, colbón y colores o marcadores
2;Imagenes/nivel1/n1a2/instruccion2;Recorta una tira de cartulina de 12 cm de ancho x 36 cm de alto, un rectángulo de 22 cm de ancho x 36 cm de alto, una tira de papel iris de 14 cm de ancho x 36 cm de alto, y por último dos de 25 cm de ancho x 12 cm de alto 
2;Imagenes/nivel1/n1a2/instruccion3;En forma de cilindro envuelve las tiras de 25 cm x 12 cm 
2;Imagenes/nivel1/n1a2/instruccion4;Pega la tira de 12 cm x 36 cm al rectángulo de 22 cm x 36 cm, hazlo a modo de curva
2;Imagenes/nivel1/n1a2/instruccion5;Luego de esto, pega uno de los cilindros sobre la tira (con la abertura hacia el frente )
2;Imagenes/nivel1/n1a2/instruccion6;Sobre este cilindro, pega la tira de 14 cm x 36 cm ¡Estos serán los brazos!
2;Imagenes/nivel1/n1a2/instruccion7;Añade una carita expresiva al cilindro restante
2;Imagenes/nivel1/n1a2/instruccion8;Pega este cilindro sobre los brazos de nuestro equilibrista y ¡Estás listo para cruzar la cuerda floja!
3;Imagenes/nivel1/n1a3/instruccion1;Tus Materiales: Cartón, gancho de ropa, 2 palitos de helado, tapa de gaseosa, pelota de ping-pong, silicona y tijeras.
3;Imagenes/nivel1/n1a3/instruccion2;Pega un palito sobre el otro para que el brazo de tu catapulta sea súper fuerte.
3;Imagenes/nivel1/n1a3/instruccion3;Pega la tapa de gaseosa en un extremo de los palitos
3;Imagenes/nivel1/n1a3/instruccion4;Pega el gancho de ropa al otro extremo de los palitos (por la parte que se abre).
3;Imagenes/nivel1/n1a3/instruccion5;Crea la base: Recorta 3 cuadrados de cartón (10x10 cm).
3;Imagenes/nivel1/n1a3/instruccion6;Pega los cuadrados uno sobre otro para hacer una base pesada.
3;Imagenes/nivel1/n1a3/instruccion7;Pega la otra parte del gancho firmemente a tu base de cartón. Decora tu catapulta, pon la pelota en la tapa, presiona hacia abajo y... ¡mira cómo vuela!
4;Imagenes/nivel1/n1a4/instruccion1;Tus Materiales: Vaso de cartón, palito de madera, 40 cm de lana (o cordón), pelota de ping-pong, silicona, tijeras, témperas y marcadores.
4;Imagenes/nivel1/n1a4/instruccion2;Pega el palito de madera firmemente en la base exterior del vaso para que sea tu soporte.
4;Imagenes/nivel1/n1a4/instruccion3;Recorta un trozo de lana o cordón de unos 40 cm de largo.
4;Imagenes/nivel1/n1a4/instruccion4;Amarra un extremo de la lana al palito, justo donde se une con el vaso, con un nudo fuerte.
4;Imagenes/nivel1/n1a4/instruccion5;Pega el otro extremo de la lana a la pelota de ping-pong con un punto de silicona (pide ayuda a un adulto).
4;Imagenes/nivel1/n1a4/instruccion6;Pinta y decora tu vaso. Ahora intenta lanzar la pelota al aire y... ¡atrapala dentro del vaso!
5;Imagenes/nivel1/n1a5/instruccion1;Tus materiales: Dos vasitos de cartón o de yogurt vacío, un pitillo, tijeras, pegante o cinta, témperas y marcadores
5;Imagenes/nivel1/n1a5/instruccion2;Con ayuda de una regla marca ocho puntos en el vaso distribuidos equitativamente
5;Imagenes/nivel1/n1a5/instruccion3;Luego corta de manera recta por sobre cada uno de los puntos y deja tan solo cuatro a manera de pinza 
5;Imagenes/nivel1/n1a5/instruccion4;Con un lápiz o esfero haz un hueco en el centro de la pinza que acabas de cortar
5;Imagenes/nivel1/n1a5/instruccion5;Dobla las puntas de la pinza 
5;Imagenes/nivel1/n1a5/instruccion6;Corta el pitillo en cuatro trozos
5;Imagenes/nivel1/n1a5/instruccion7;Introduce el pitillo en el hueco que hiciste con el lápiz, estira las cuatro puntas del pitillo y pegalo
5;Imagenes/nivel1/n1a5/instruccion8;Toma el otro vaso, y con el lápiz abre un hueco en el centro del mismo
5;Imagenes/nivel1/n1a5/instruccion9;Ahora introduce el pitillo con la pinza en ese vaso
5;Imagenes/nivel1/n1a5/instruccion10;Decora a tu gusto ¡Y a cuidar el planeta!
6;Imagenes/nivel1/n1a6/instruccion1;Tus materiales: Tijeras, témperas, un palito de pincho, una tapa de gaseosa, una caja de jugo vacía con su pitillo, dos palitos de paleta, pincel, marcadores, silicona fría, un trozo pequeño de hilaza
6;Imagenes/nivel1/n1a6/instruccion2;Toma la caja de jugo, traza dos líneas más o menos como las de la imagen y cortala con cuidado
6;Imagenes/nivel1/n1a6/instruccion3;A los palitos de paleta hazle un hueco con ayuda de tu profe o un adulto responsable 
6;Imagenes/nivel1/n1a6/instruccion4;Pega las dos partes del jugo en caja con los palitos, la más grande será nuestro pozo y la más pequeña el techo. Nota: Asegúrate de que al pegar no cubras los dos huequitos de los palitos de paleta
6;Imagenes/nivel1/n1a6/instruccion5;En los huequitos de los palitos de paleta atraviesa un trozo de aproximadamente 6 cm del palito de pincho 
6;Imagenes/nivel1/n1a6/instruccion6;Recorta el pitillo conservando la parte arrugada
6;Imagenes/nivel1/n1a6/instruccion7;Adhiere el trozo de pitillo al palito de pincho
6;Imagenes/nivel1/n1a6/instruccion8;Luego toma la tapita y pega los dos extremos del trozo pequeño de hilaza
6;Imagenes/nivel1/n1a6/instruccion9;Amarra la hilaza al palito de pincho 
6;Imagenes/nivel1/n1a6/instruccion10;Decora a tu gusto ¡Y devuelve el agua a tu comunidad!
7;Imagenes/nivel1/n1a7/instruccion1;Tus Materiales: Vaso de cartón, cartulina, 2 tapas de gaseosa, 1 caucho (banda elástica), silicona, cinta y tijeras.
7;Imagenes/nivel1/n1a7/instruccion2;Dibuja las orejitas de tu animal favorito en la cartulina dejando un pequeño espacio abajo.
7;Imagenes/nivel1/n1a7/instruccion3;Recorta las orejas dejando un pequeño espacio en la base para poder pegarlas.
7;Imagenes/nivel1/n1a7/instruccion4;Pega las orejas al vaso con silicona (¡pide ayuda a un adulto para este paso!).
7;Imagenes/nivel1/n1a7/instruccion5;Une las dos tapas de gaseosa pegándolas entre sí con silicona. Ten mucho cuidado.
7;Imagenes/nivel1/n1a7/instruccion6;Con un poco de cinta, pega el caucho firmemente a las tapas que acabas de unir.
7;Imagenes/nivel1/n1a7/instruccion7;Señala con un marcador cuatro puntos específicos a los lados del borde del vaso.
7;Imagenes/nivel1/n1a7/instruccion8;Recorta medio centímetro en esos puntos y dobla las pestañas hacia afuera.
7;Imagenes/nivel1/n1a7/instruccion9;Pon el caucho entre las pestañas, gira las tapas para darles cuerda y... ¡mira cómo corre tu animal!
8;Imagenes/nivel1/n1a8/instruccion1;Tus materiales: Una caja de jugo vacía, un trocito de cartulina, una hoja de papel iris, tijeras, cinta o pegante, un clip, marcadores y témperas
8;Imagenes/nivel1/n1a8/instruccion2;Con ayuda de una regla traza una línea con la forma que ves en la imagen en ambas caras de la caja
8;Imagenes/nivel1/n1a8/instruccion3;Recorta la caja 
8;Imagenes/nivel1/n1a8/instruccion4;Estira el clip hasta que quede una línea recta 
8;Imagenes/nivel1/n1a8/instruccion5;Con ayuda de un adulto responsable abre dos huecos en los extremos circulares que acabas de cortar 
8;Imagenes/nivel1/n1a8/instruccion6;Dobla el clip con la forma que ves en la imagen, si necesitas ayuda no dudes en solicitarla a un adulto 
8;Imagenes/nivel1/n1a8/instruccion7;Introduce las puntas del clip en los huecos que le hiciste a la caja de jugo
8;Imagenes/nivel1/n1a8/instruccion8;En la hoja iris dibuja tu caminante, personalizalo y recortalo
8;Imagenes/nivel1/n1a8/instruccion9;Recorta un pequeño rectángulo de 6 cm x 4 cm 
8;Imagenes/nivel1/n1a8/instruccion10;Adhiere el trozo de  cartulina a la parte trasera del caminante
8;Imagenes/nivel1/n1a8/instruccion11;Pega el caminante al clip ¡Y a recorrer el mundo!  Nota: Cuando pegues las piernas del caminante deja un vacío en la parte posterior para que pueda caminar
9;Imagenes/nivel1/n1a9/instruccion1;Tus Materiales: Vaso de cartón, cartulina, cartón rígido, palillo, lana, marcadores, pegante y tijeras.
9;Imagenes/nivel1/n1a9/instruccion2;Crea la figura de un pájaro en el cartón y píntalo con tus colores favoritos.
9;Imagenes/nivel1/n1a9/instruccion3;Usa las tijeras con cuidado para sacar la silueta de tu pájaro.
9;Imagenes/nivel1/n1a9/instruccion4;"Corta la punta de un palillo, píntala y prepárala; ¡este será el pico!"
9;Imagenes/nivel1/n1a9/instruccion5;Pega el pico firmemente a la cabeza de tu pájaro.
9;Imagenes/nivel1/n1a9/instruccion6;Recorta dos tiras largas de cartulina (de 1 cm de ancho aproximadamente).
9;Imagenes/nivel1/n1a9/instruccion7;Pega las puntas de las tiras y empieza a pasar una encima de otra (como un tejido).
9;Imagenes/nivel1/n1a9/instruccion8;"Al terminar, pega el extremo; debe quedarte un resorte de papel tipo acordeón."
9;Imagenes/nivel1/n1a9/instruccion9;Pega un extremo del acordeón en la parte lateral del vaso de cartón.
9;Imagenes/nivel1/n1a9/instruccion10;Pega un trozo de lana en la parte de adelante de tu pájaro.
9;Imagenes/nivel1/n1a9/instruccion11;Abre un pequeño agujero en el vaso y pasa la lana por ahí hacia adentro.
9;Imagenes/nivel1/n1a9/instruccion12;Pega el pájaro al frente del acordeón. ¡Jala la lana desde adentro del vaso y mira cómo pica!
10;Imagenes/nivel1/n1a10/instruccion1;Tus materiales: Hoja iris, blanca o reciclada, tijeras, marcadores, 5 copitos, un pitillo de jugo, silicona, tapa de gaseosa, plastilina
10;Imagenes/nivel1/n1a10/instruccion2;Con ayuda de la tapa haz dos círculos en la hoja 
10;Imagenes/nivel1/n1a10/instruccion3;Colorea los círculos a tu gusto
10;Imagenes/nivel1/n1a10/instruccion4;Recorta los círculos
10;Imagenes/nivel1/n1a10/instruccion5;Abre dos huecos en los círculos que recortaste 
10;Imagenes/nivel1/n1a10/instruccion6;Con ayuda de un adulto corta los copitos a la mitad. Nota: Conserva dos copitos para más adelante
10;Imagenes/nivel1/n1a10/instruccion7;Pega los copitos alrededor del círculo sin tapar el hueco que hicimos en el centro 
10;Imagenes/nivel1/n1a10/instruccion8;Una vez pegados los copitos, pega sobre ellos el otro círculo que recortamos 
10;Imagenes/nivel1/n1a10/instruccion9;Pinta los copitos a tu gusto 
10;Imagenes/nivel1/n1a10/instruccion10;Rellena la tapa de gaseosa con la plastilina hasta que quede firme 
10;Imagenes/nivel1/n1a10/instruccion11;Corta un pequeño trozo de pitillo, un pequeño trozo del palito del copito y reune los dos copitos que conservaste 
10;Imagenes/nivel1/n1a10/instruccion12;En el hueco del centro de los círculos introduce y pega el pitillo, dentro del pitillo introduce el pequeño trozo de palito del paso anterior
10;Imagenes/nivel1/n1a10/instruccion13;Pega los dos copitos al pequeño trozo de palito, uno a cada lado 
