ActividadId;Nivel;NumeroPregunta;Enunciado;Opcion1;Opcion2;Opcion3;RespuestaCorrecta
1;1;1;¿Cuál fue la causa principal de la tristeza en Pueblo Sonoro al inicio de la historia?;Se prohibió el gran festival de música reciclada;Los pájaros dejaron de silbar sus melodías;Los instrumentos musicales desaparecieron por completo;Los instrumentos musicales desaparecieron por completo
1;1;2;Según la profesora Tono-fonia, ¿qué es lo que ocurre cuando algo choca o se mueve rápidamente?;Se produce una vibración;El objeto cambia de color;El sonido desaparece instantáneamente;Se produce una vibración
1;1;3;¿Cómo viaja el sonido por el aire para llegar a nuestros oidos?;Únicamente a través de tubos de cartón;Como una línea recta de luz;Como una ola invisible;Como una ola invisible
2;1;1;¿Qué aprendió Tito para no caerse de la cuerda floja?;Que hay que cerrar los ojos;Que lo más pesado debe quedar abajo;Que hay que saltar muy alto;Que lo más pesado debe quedar abajo
2;1;2;¿Qué materiales usaron los niños para construir al acróbata de papel?;Plastilina y palos;Papel iris, cartulina, tijeras y pegante;Botellas y cinta adhesiva;Papel iris, cartulina, tijeras y pegante
2;1;3;¿Qué parte del cuerpo del acróbata de papel ayuda a que tenga más equilibrio?;Los brazos abiertos;La cabeza muy grande;La nariz puntiaguda;Los brazos abiertos
3;1;1;¿Qué problema tenían los amigos para cruzar el río?;Que el río estaba seco;Que no sabían nadar;Que sus barcos eran muy pequeños para cargar todos los objetos;Que sus barcos eran muy pequeños para cargar todos los objetos
3;1;2;¿Qué máquina usaron los niños para lanzar los objetos a la otra orilla?;Una catapulta;Una grúa;Un avión;Una catapulta
3;1;3;¿Qué hicieron los niños cuando el objeto no llegaba muy lejos?;Se rindieron y se fueron a casa;Probaron varias veces y ajustaron la catapulta;Llamaron a su abuelita para que los ayudara;Probaron varias veces y ajustaron la catapulta
4;1;1;¿Qué fuerza siempre jala la pelota hacia abajo?;La fuerza del viento;La gravedad;La fuerza de los pies;La gravedad
4;1;2;¿Qué debe hacer el niño o la niña para atrapar la pelota dentro del vaso?;Cerrar los ojos y esperar;Patear la pelota muy lejos;Mover el vaso rápido y con precisión;Mover el vaso rápido y con precisión
4;1;3;¿Qué le pasó a Valentina después de practicar muchas veces?;Se aburrió y dejó de jugar;Olvidó cómo se jugaba;Mejoró su coordinación y logró atrapar la pelota;Mejoró su coordinación y logró atrapar la pelota
5;1;1;¿Qué problema tenía la ciudad de Limpilandia?;Que había basuritas escondidas en rincones difíciles de alcanzar;Que no había luz en las calles;Que los niños no querían ir a la escuela;Que había basuritas escondidas en rincones difíciles de alcanzar
5;1;2;¿Qué necesitaba la herramienta para atrapar los residuos?;Ser muy pesada y grande;Hacer mucho ruido;Poder entrar en lugares angostos y atrapar sin que se cayeran;Poder entrar en lugares angostos y atrapar sin que se cayeran
5;1;3;¿Qué aprendieron los niños al final de la historia?;Que ensuciar la ciudad está bien;Que las herramientas no sirven para nada;Que con creatividad e ingeniería se pueden ayudar al planeta;Que con creatividad e ingeniería se pueden ayudar al planeta
6;1;1;¿Qué problema tenía el pueblo de Valle Seco?;Que había demasiada agua;Que sacar agua del subsuelo era muy difícil;Que los niños no querían jugar;Que sacar agua del subsuelo era muy difícil
6;1;2;¿Qué máquina simple usaron los niños para levantar el agua con menos esfuerzo?;Una catapulta;Un vaso recogedor;Un pozo con polea;Un pozo con polea
6;1;3;¿Qué hace la polea cuando giramos el cilindro?;La cuerda se enrolla y el balde sube con menos esfuerzo;La cuerda se corta sola;El balde se llena de aire;La cuerda se enrolla y el balde sube con menos esfuerzo
7;1;1;¿Qué problema tenía el pueblo de Corre Rápido?;Que llovía demasiado;Que no tenían combustible para enviar mensajes;Que los niños no querían jugar;Que no tenían combustible para enviar mensajes
7;1;2;¿Qué pasa cuando giras muchas veces la banda elástica del vehículo?;Se rompe la banda y no funciona;El vehículo no se mueve;Se guarda más energía y el vehículo llega más lejos;Se guarda más energía y el vehículo llega más lejos
7;1;3;¿Cómo se llama la energía que se guarda al estirar o girar un caucho?;Energía solar;Energía de agua;Energía elástica ;Energía elástica 
8;1;1;¿Cómo quería Mateo recorrer el mundo?;Caminando;En barco;En avión;Caminando
8;1;2;¿Qué hacía el pequeño mecanismo que construyeron los niños?;Volaba como un pájaro;Imitaba el movimiento de caminar;Sonaba como una campana;Imitaba el movimiento de caminar
8;1;3;¿Dónde guardó Mateo al caminante?;En su maleta;En un cofre de tesoros;No lo guardó;En su maleta
9;1;1;¿Qué actividad realizaba el pájaro carpintero Tico durante el día?;Nadar en un río para atrapar peces;Picotear los troncos de los árboles;Volar en círculos sobre el valle;Picotear los troncos de los árboles
9;1;2;¿Qué construyeron los niños al final de la historia para recordar al pájaro carpintero?;Una jaula de madera para tenerlo como mascota;Un dibujo del pájaro en una hoja de papel;Un mecanismo que imitaba su movimiento de picoteo;Un mecanismo que imitaba su movimiento de picoteo
9;1;3;¿Cómo lograban los niños que la figura del pájaro carpintero se moviera?;Con un motor eléctrico conectado a una batería;Soplando fuerte sobre la figura;Aplicando una fuerza suave a un hilo;Aplicando una fuerza suave a un hilo
10;1;1;"¿Cómo giraba la rueda de la fortuna antigua del parque ""Nubes Felices""?";Giraba tan despacio que los niños se aburrían;Giraba muy rápido y los niños se mareaban;No giraba porque estaba completamente rota;Giraba tan despacio que los niños se aburrían
10;1;2;¿Qué parte de la rueda de la fortuna era la más importante para que girara sin tambalearse?;El eje central;Las canastillas colgantes;Las escaleras de subida;El eje central
